1781295409195,1,4975,-2415,-1080,251,0.8609,0.8609
1781295409195,2,3997,-1860,-988,3,-2.583,-2.583
1781295409223,1,5097,-2273,-1104,373,0.8609,0.8609
1781295409223,2,3938,-2000,-1035,116,-1.981,-1.981
1781295409377,1,5122,-2244,-1109,373,0.8609,0.8609
1781295409377,2,3934,-2011,-1039,116,-1.981,-1.981
1781295409377,3,755,-3514,-1902,292,2.8952,2.8952
1781295409527,1,5146,-2216,-1114,373,0.8609,0.8609
1781295409527,2,3929,-2022,-1042,116,-1.981,-1.981
1781295409527,3,726,-3507,-1911,292,2.8952,2.8952
1781295409527,4,4750,-1802,-2242,117,2.8721,2.8721
1781295409680,1,5170,-2188,-1119,373,0.8609,0.8609
1781295409680,2,3924,-2032,-1046,116,-1.981,-1.981
1781295409680,3,698,-3499,-1919,292,2.8952,2.8952
1781295409680,4,4738,-1799,-2243,117,2.8721,2.8721
1781295409842,1,7268,-1559,-1822,3069,0.3484,0.3484
1781295409842,2,4387,-4104,-723,2787,-1.3724,-1.3724
1781295409842,3,669,-3492,-1927,292,2.8952,2.8952
1781295409842,4,5238,-2109,-2268,575,-0.6068,-0.6068
1781295409842,5,7177,-4718,-1560,22,0.1538,0.1538
1781295410169,1,7628,-1439,-2011,3171,0.3439,0.3439
1781295410169,2,3832,-4247,-1504,2568,-1.6926,-1.6926
1781295410169,3,641,-3485,-1935,292,2.8952,2.8952
1781295410169,4,5285,-2142,-2272,575,-0.6068,-0.6068
1781295410169,5,7179,-4717,-1561,22,0.1538,0.1538
1781295410172,1,7800,-1479,-2092,2919,0.294,0.294
1781295410172,2,4046,-4394,-1165,2385,-1.5452,-1.5452
1781295410172,3,613,-3478,-1943,292,2.8952,2.8952
1781295410172,4,5167,-2134,-2253,352,-0.8633,-0.8633
1781295410172,5,7181,-4717,-1561,22,0.1538,0.1538
1781295410335,1,8080,-1395,-2195,2919,0.294,0.294
1781295410335,2,4199,-4453,-986,2123,-1.4325,-1.4325
1781295410335,3,584,-3471,-1951,292,2.8952,2.8952
1781295410335,4,5177,-2009,-1641,210,-0.143,-0.143
1781295410335,5,7183,-4717,-1562,22,0.1538,0.1538
1781295410494,1,8359,-1310,-2298,2919,0.294,0.294
1781295410494,2,3582,-4532,-850,2031,-1.9394,-1.9394
1781295410494,3,556,-3464,-1959,292,2.8952,2.8952
1781295410494,4,5198,-2012,-1546,210,-0.143,-0.143
1781295410494,5,7186,-4716,-1563,22,0.1538,0.1538
1781295410658,1,8639,-1225,-2401,2919,0.294,0.294
1781295410658,2,3509,-4721,-815,2031,-1.9394,-1.9394
1781295410658,3,1074,-3661,-1932,278,-0.4761,-0.4761
1781295410658,4,5219,-2015,-1450,210,-0.143,-0.143
1781295410658,5,7061,-4734,-1628,119,-3.0068,-3.0068
1781295410820,1,7922,-1757,-1711,1514,0.035,0.035
1781295410820,2,3435,-4910,-780,2031,-1.9394,-1.9394
